ts,ts_iso,topic,device_type,device_id,voltage,current_signed,current,power_signed,power,direction,ip,raw_payload
1771243383015,2026-02-16T18:03:03,battery/data,,,,,,,,,,"{""uptime_ms"":2613855,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243388020,2026-02-16T18:03:08,battery/data,,,,,,,,,,"{""uptime_ms"":2618856,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243393020,2026-02-16T18:03:13,battery/data,,,,,,,,,,"{""uptime_ms"":2623857,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243398017,2026-02-16T18:03:18,battery/data,,,,,,,,,,"{""uptime_ms"":2628858,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243403056,2026-02-16T18:03:23,battery/data,,,,,,,,,,"{""uptime_ms"":2633859,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243408024,2026-02-16T18:03:28,battery/data,,,,,,,,,,"{""uptime_ms"":2638860,""bus_V"":3.852,""shunt_mV"":0.020,""current_A"":-0.000,""power_W"":0.004,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243413069,2026-02-16T18:03:33,battery/data,,,,,,,,,,"{""uptime_ms"":2643861,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243418023,2026-02-16T18:03:38,battery/data,,,,,,,,,,"{""uptime_ms"":2648862,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243423024,2026-02-16T18:03:43,battery/data,,,,,,,,,,"{""uptime_ms"":2653863,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243428027,2026-02-16T18:03:48,battery/data,,,,,,,,,,"{""uptime_ms"":2658864,""bus_V"":3.848,""shunt_mV"":0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243433027,2026-02-16T18:03:53,battery/data,,,,,,,,,,"{""uptime_ms"":2663865,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243438022,2026-02-16T18:03:58,battery/data,,,,,,,,,,"{""uptime_ms"":2668866,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243443021,2026-02-16T18:04:03,battery/data,,,,,,,,,,"{""uptime_ms"":2673867,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243448029,2026-02-16T18:04:08,battery/data,,,,,,,,,,"{""uptime_ms"":2678868,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243453031,2026-02-16T18:04:13,battery/data,,,,,,,,,,"{""uptime_ms"":2683869,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243458031,2026-02-16T18:04:18,battery/data,,,,,,,,,,"{""uptime_ms"":2688870,""bus_V"":3.852,""shunt_mV"":0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
