ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1772288799823,2026-02-28T20:26:39,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,27.7,0.0,0.0,3845069,"{""uptime_ms"":3845069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":27.70,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288804833,2026-02-28T20:26:44,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,33.16,0.0,0.0,3850069,"{""uptime_ms"":3850069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":33.16,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288809815,2026-02-28T20:26:49,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,27.8,0.0,0.0,3855069,"{""uptime_ms"":3855069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":27.80,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288814857,2026-02-28T20:26:54,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,22.86,0.0,0.0,3860069,"{""uptime_ms"":3860069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":22.86,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288819837,2026-02-28T20:26:59,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,25.84,0.0,0.0,3865069,"{""uptime_ms"":3865069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":25.84,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288824859,2026-02-28T20:27:04,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,29.96,0.0,0.0,3870069,"{""uptime_ms"":3870069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":29.96,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288829824,2026-02-28T20:27:09,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,30.27,0.0,0.0,3875069,"{""uptime_ms"":3875069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":30.27,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288834823,2026-02-28T20:27:14,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,29.45,0.0,0.0,3880069,"{""uptime_ms"":3880069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":29.45,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288839843,2026-02-28T20:27:19,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3885069,"{""uptime_ms"":3885069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":14.00,""soc_percent"":0.00,""soh_percent"":0.00}"
1772288844845,2026-02-28T20:27:24,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,25.23,0.0,0.0,3890069,"{""uptime_ms"":3890069,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":25.23,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298464897,2026-02-28T23:07:44,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,31.05,0.0,0.0,188850,"{""uptime_ms"":188850,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":31.05,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298469239,2026-02-28T23:07:49,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,36.3,0.0,0.0,193902,"{""uptime_ms"":193902,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":36.30,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298473377,2026-02-28T23:07:53,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,32.7,0.0,0.0,198954,"{""uptime_ms"":198954,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":32.70,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298479205,2026-02-28T23:07:59,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,31.98,0.0,0.0,204006,"{""uptime_ms"":204006,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":31.98,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298483390,2026-02-28T23:08:03,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,34.04,0.0,0.0,209058,"{""uptime_ms"":209058,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":34.04,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298488398,2026-02-28T23:08:08,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,33.32,0.0,0.0,214110,"{""uptime_ms"":214110,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":33.32,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298493412,2026-02-28T23:08:13,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,33.83,0.0,0.0,219162,"{""uptime_ms"":219162,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":33.83,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298498423,2026-02-28T23:08:18,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,33.32,0.0,0.0,224214,"{""uptime_ms"":224214,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":33.32,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298503427,2026-02-28T23:08:23,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,29.92,0.0,0.0,229266,"{""uptime_ms"":229266,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":29.92,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298508521,2026-02-28T23:08:28,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,33.32,0.0,0.0,234318,"{""uptime_ms"":234318,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":33.32,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298513463,2026-02-28T23:08:33,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,34.45,0.0,0.0,239370,"{""uptime_ms"":239370,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":34.45,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298519108,2026-02-28T23:08:39,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,26.83,0.0,0.0,244422,"{""uptime_ms"":244422,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":26.83,""soc_percent"":0.00,""soh_percent"":0.00}"
1772298523500,2026-02-28T23:08:43,battery/data,battery,esp32_bms,0.0,0.0,0.0,0.0,31.05,0.0,0.0,249474,"{""uptime_ms"":249474,""bus_V"":0.000,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""temperature"":31.05,""soc_percent"":0.00,""soh_percent"":0.00}"
