ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1771666716228,2026-02-21T15:38:36,battery/data,battery,esp32_bms,0.836,41.79,0.418,0.34,99.99,19.31,1565344,"{""uptime_ms"":1565344,""bus_V"":0.836,""shunt_mV"":41.790,""current_A"":0.418,""power_W"":0.340,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666721281,2026-02-21T15:38:41,battery/data,battery,esp32_bms,0.876,-0.04,,,99.99,19.31,1570345,"{""uptime_ms"":1570345,""bus_V"":0.876,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666726224,2026-02-21T15:38:46,battery/data,battery,esp32_bms,0.864,-0.03,,,99.99,19.31,1575346,"{""uptime_ms"":1575346,""bus_V"":0.864,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666731961,2026-02-21T15:38:51,battery/data,battery,esp32_bms,0.868,-0.04,-0.001,,99.99,19.31,1580347,"{""uptime_ms"":1580347,""bus_V"":0.868,""shunt_mV"":-0.040,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666737221,2026-02-21T15:38:57,battery/data,battery,esp32_bms,0.844,-0.01,,,99.99,19.31,1585348,"{""uptime_ms"":1585348,""bus_V"":0.844,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666741229,2026-02-21T15:39:01,battery/data,battery,esp32_bms,0.868,-0.02,,,99.99,19.31,1590349,"{""uptime_ms"":1590349,""bus_V"":0.868,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666746234,2026-02-21T15:39:06,battery/data,battery,esp32_bms,0.852,-0.04,,,99.99,19.31,1595350,"{""uptime_ms"":1595350,""bus_V"":0.852,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666751510,2026-02-21T15:39:11,battery/data,battery,esp32_bms,0.876,-0.03,,,99.99,19.31,1600351,"{""uptime_ms"":1600351,""bus_V"":0.876,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666756327,2026-02-21T15:39:16,battery/data,battery,esp32_bms,0.728,0.0,,,99.99,19.31,1605352,"{""uptime_ms"":1605352,""bus_V"":0.728,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
1771666761225,2026-02-21T15:39:21,battery/data,battery,esp32_bms,0.868,-0.03,,,99.99,19.31,1610353,"{""uptime_ms"":1610353,""bus_V"":0.868,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":99.99,""soh_percent"":19.31}"
