ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1771569796880,2026-02-20T12:43:16,battery/data,battery,esp32_bms,0.024,-0.08,-0.001,,100.0,19.31,75476752,"{""uptime_ms"":75476752,""bus_V"":0.024,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569801877,2026-02-20T12:43:21,battery/data,battery,esp32_bms,0.024,-0.07,-0.001,,100.0,19.31,75481753,"{""uptime_ms"":75481753,""bus_V"":0.024,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569806881,2026-02-20T12:43:26,battery/data,battery,esp32_bms,0.028,-0.07,-0.001,,100.0,19.31,75486754,"{""uptime_ms"":75486754,""bus_V"":0.028,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569811899,2026-02-20T12:43:31,battery/data,battery,esp32_bms,0.024,-0.08,-0.001,,100.0,19.31,75491755,"{""uptime_ms"":75491755,""bus_V"":0.024,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569816888,2026-02-20T12:43:36,battery/data,battery,esp32_bms,0.024,-0.07,-0.001,,100.0,19.31,75496756,"{""uptime_ms"":75496756,""bus_V"":0.024,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569821881,2026-02-20T12:43:41,battery/data,battery,esp32_bms,0.024,-0.05,-0.001,,100.0,19.31,75501757,"{""uptime_ms"":75501757,""bus_V"":0.024,""shunt_mV"":-0.050,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569826894,2026-02-20T12:43:46,battery/data,battery,esp32_bms,0.028,-0.09,-0.001,,100.0,19.31,75506758,"{""uptime_ms"":75506758,""bus_V"":0.028,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569831909,2026-02-20T12:43:51,battery/data,battery,esp32_bms,0.024,-0.07,-0.001,,100.0,19.31,75511759,"{""uptime_ms"":75511759,""bus_V"":0.024,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569836885,2026-02-20T12:43:56,battery/data,battery,esp32_bms,0.024,-0.1,-0.001,,100.0,19.31,75516760,"{""uptime_ms"":75516760,""bus_V"":0.024,""shunt_mV"":-0.100,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569841901,2026-02-20T12:44:01,battery/data,battery,esp32_bms,0.024,-0.08,-0.001,,100.0,19.31,75521761,"{""uptime_ms"":75521761,""bus_V"":0.024,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569846927,2026-02-20T12:44:06,battery/data,battery,esp32_bms,0.02,-0.09,-0.001,,100.0,19.31,75526762,"{""uptime_ms"":75526762,""bus_V"":0.020,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569851889,2026-02-20T12:44:11,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75531763,"{""uptime_ms"":75531763,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569856894,2026-02-20T12:44:16,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75536764,"{""uptime_ms"":75536764,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569861971,2026-02-20T12:44:21,battery/data,battery,esp32_bms,0.024,-0.05,-0.001,,100.0,19.31,75541765,"{""uptime_ms"":75541765,""bus_V"":0.024,""shunt_mV"":-0.050,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569866892,2026-02-20T12:44:26,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75546766,"{""uptime_ms"":75546766,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
